timer                                            ms      calls
  LOCK_FINDER                                     0          1
  LOCK_ORDER                                      0          1
  ASSERT_SIDE_EFFECT                              0          1
  BAD_ALLOC_ARITHMETIC                            0          1
  BAD_ALLOC_STRLEN                                0          1
  BAD_COMPARE                                     0          1
  BAD_SIZEOF                                      0          1
  CHAR_IO                                         0          1
  CONSTANT_EXPRESSION_RESULT                      0          1
  COPY_PASTE_ERROR                                0          1
  EVALUATION_ORDER                                0          1
  INCOMPATIBLE_CAST                               0          1
  INFINITE_LOOP                                   0          1
  INTEGER_OVERFLOW                                0          1
  MISSING_BREAK                                   0          1
  MISSING_COMMA                                   0          1
  MIXED_ENUMS                                     0          1
  NESTING_INDENT_MISMATCH                         0          1
  NO_EFFECT                                       0          1
  OPEN_ARGS                                       0          1
  PASS_BY_VALUE                                   0          1
  REVERSE_INULL                                   0          1
  SIGN_EXTENSION                                  0          1
  SIZEOF_MISMATCH                                 0          1
  STACK_USE                                       0          1
  STRAY_SEMICOLON                                 0          1
  SWAPPED_ARGUMENTS                               0          1
  UNREACHABLE                                     0          1
  UNUSED_VALUE                                    0          1
types/warning pass                                2          1
  MISSING_COMMA_GLOBAL                            0          1
  PARSE_ERROR                                     0          1
  PW.*                                            0          1

activity                                         ms      calls
--------------------------------------------------------------
RELAX_BLOCK_FN                                    0          1
RELAX_GETLOCK                                     0          1
RELAX_LOCKS                                       0          1
DUMMY_DERIVER_CONCURRENCY                         0          1
IFACE_TRACKER                                     0          5
LOCK_FINDER                                       1          8
LOCK_ORDER                                        2          7
ARRAY_VS_SINGLETON_pass1                          1          6
ASSERT_SIDE_EFFECT                                0          1
BAD_ALLOC_ARITHMETIC                              0          1
BAD_ALLOC_STRLEN                                  0          1
BAD_COMPARE                                       0          1
BAD_SIZEOF                                        0          1
CHAR_IO                                           0          1
CHECKED_RETURN_pass1                              0          6
CONSTANT_EXPRESSION_RESULT                        0          1
COPY_PASTE_ERROR                                  0          1
EVALUATION_ORDER                                  0          1
INCOMPATIBLE_CAST                                 0          1
INFINITE_LOOP                                     0          1
INTEGER_OVERFLOW                                  0          1
MISSING_BREAK                                     0          1
MISSING_COMMA                                     0          1
MISSING_LOCK_pass1                                1          7
MIXED_ENUMS                                       0          1
NESTING_INDENT_MISMATCH                           0          1
NO_EFFECT                                         0          1
NULL_RETURNS_pass1                                0          6
OPEN_ARGS                                         0          1
ORDER_REVERSAL_pass1                              1         12
PASS_BY_VALUE                                     0          1
RESOURCE_LEAK_pass1                               0          6
REVERSE_INULL                                     0          1
SIGN_EXTENSION                                    0          1
SIZEOF_MISMATCH                                   0          1
STACK_USE                                         0          1
